,Unnamed: 0,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
114,114,59,578,1,1,1,24171.20366299901,0.14,110307.02,87568.52340729983
115,115,52,625,2,1,5,256293.80563946,0.01,57453.19,273094.35184401844
116,116,47,660,1,1,1,-126034.98436208656,0.18,29245.92,-94537.11288468496
117,117,53,569,2,1,3,45757.19302455328,0.18,77382.99,104409.5938913085
118,118,51,594,1,1,1,-33427.59410116461,0.09,80367.6,4240.428237459395
120,120,60,656,1,1,1,-88379.62579785292,0.07,43351.34,-63869.40304265612
121,121,48,295,2,1,3,-224387.47380531963,0.33,102636.11,-103241.32379576282
122,122,48,316,3,1,4,-23648.75344788534,0.35,44450.44,40107.93849825866
123,123,52,551,3,1,3,13119.787106220894,0.19,90855.46,82219.4745154273
126,126,46,320,3,1,5,-128427.9618024882,0.05,70151.9,-102435.38355856818
127,127,42,320,3,1,3,-141939.99621777798,0.06,53562.48,-116868.31315850117
128,128,39,345,2,1,5,111441.6532049696,0.1,60305.96,145341.1551108256
129,129,52,281,1,1,1,-185846.0331145129,0.28,58115.38,-119849.66628452248
130,130,47,336,1,1,1,78009.97737503791,0.26,99067.06,173732.1320695595
131,131,43,286,1,1,1,-125129.87124045928,0.0,51966.2,-110129.87124045928
132,132,45,660,3,1,5,141408.59409807788,0.24,53886.98,196939.39727086507
133,133,51,294,1,1,1,-103227.75913656502,0.26,23442.32,-69126.40918796981
134,134,48,647,2,1,3,268609.7489375139,0.23,73566.19,336636.64711899706
135,135,43,647,3,1,3,-101251.57768616812,0.12,85494.99,-54099.27844849133
137,137,55,616,2,1,3,-27932.26234443296,0.2,30310.7,6066.096438607041
138,138,60,591,1,1,1,14841.9098354652,0.22,94887.7,95263.7452126492
139,139,56,578,3,1,3,-80557.92261113154,0.05,26025.03,-61479.883690227536
140,140,41,313,1,1,1,41117.70627242291,0.33,114119.75,174140.22390830293
141,141,44,343,1,1,1,-110688.9967095426,0.34,157461.39,72092.13565901104
142,142,56,614,3,1,3,71227.91380542977,0.07,22644.36,91195.53205549697
143,143,42,301,1,1,1,-121148.04553647494,0.25,123353.9,-9502.238548874928
144,144,36,309,1,1,1,-283621.484612912,0.35,48445.99,-215482.16337208802
145,145,38,309,1,1,1,-89224.19803506618,0.04,88139.92,-63175.203302061374
146,146,56,309,2,1,3,34649.310858522986,0.32,69145.72,118992.7544277774
147,147,39,309,3,1,5,-143656.70286273304,0.27,32475.48,-101177.16237262746
148,148,59,616,2,1,2,8308.1430673426,0.14,164074.42,95295.96547973942
150,150,43,579,2,1,3,110978.578445517,0.1,11150.01,129472.92021945301
151,151,56,666,1,1,1,-92243.11306176538,0.21,50002.81,-44334.93572613178
152,152,44,666,3,1,5,169697.1079381156,0.02,60947.42,188517.214211018
153,153,41,328,1,1,1,32657.40996676645,0.13,38868.96,63493.07826021925
154,154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24,37652.31488065852
155,155,42,591,1,1,1,-64389.0430594834,0.2,19861.26,-36940.259515611404
156,156,48,660,1,1,1,-274492.0067383053,0.06,43646.5,-251284.88648086533
157,157,40,300,3,1,2,74757.44698667098,0.13,53896.68,111715.58393189339
158,158,41,300,2,1,5,-157394.15669368842,0.26,74255.69,-81888.88586877
160,160,60,614,1,1,1,62668.138839211264,0.02,101508.46,84030.55918118247
161,161,56,550,2,1,3,634590.6708282295,0.23,140292.64,750714.3464853687
162,162,52,587,3,1,3,-301269.1922862795,0.01,48102.79,-284761.6816334651
164,164,40,345,1,1,1,70789.52191176618,0.07,111472.45,110243.84859619019
165,165,57,359,2,4,3,52285.80463702983,0.01,95411.43,70275.93778991463
166,166,50,317,3,1,3,7417.363575260744,0.16,84297.0,64686.38805398075
167,167,47,315,1,1,1,-123906.24690713736,0.29,65756.83,-49143.71484010217
169,169,53,621,3,1,5,-91037.871744777,0.01,20949.18,-75381.3378510522
170,170,60,656,3,1,3,234119.84024046463,0.18,106481.19,309186.7824799559
171,171,57,551,1,1,1,88725.62806231248,0.02,140781.32,112549.62099982286
173,173,50,551,3,1,5,-97233.82075859056,0.07,19770.57,-77896.64168414417
174,174,42,278,2,1,3,-13350.80457041318,0.34,86024.03,93311.08895349404
175,175,53,331,1,1,1,21537.37814086863,0.29,55537.47,87012.13234962543
176,176,42,332,3,4,3,58061.34464492171,0.32,48537.79,121737.92942618251
177,177,38,313,3,1,2,-35402.143310300984,0.02,146662.65,-11209.516136492983
178,178,37,357,2,1,5,151715.25589027497,0.18,42247.37,190547.35556497256
179,179,55,616,2,1,3,47156.2698422152,0.17,87771.61,108918.27326289841
180,180,51,594,1,1,1,-61201.89511457091,0.35,23320.12,-20622.577857258908
181,181,45,591,3,1,3,-79096.04505367641,0.22,42604.06,-34721.9976300412
182,182,57,562,2,1,3,236171.9968276771,0.25,24846.6,270638.9103820771
183,183,57,613,1,1,1,47872.33536446839,0.02,36325.84,65149.19251859319
184,184,56,550,2,1,3,726941.1368131585,0.17,41008.89,763789.4070506353
185,185,47,593,1,1,1,489696.7837195629,0.09,88146.36,529558.8382981294
186,186,58,614,1,1,1,740381.6431887951,0.02,13044.17,756199.2350678575
187,187,38,318,1,1,1,116477.6065014968,0.04,30077.11,135247.9960136952
188,188,57,545,2,1,3,16467.99678445813,0.22,91619.36,94636.42311666932
189,189,54,561,1,1,1,77480.99346966618,0.03,120044.24,103767.32242952537
190,190,52,294,1,1,1,14255.68297581187,0.14,180701.58,108538.68913045508
191,191,51,315,1,1,1,18151.864244254142,0.13,28341.54,44698.53866944135
192,192,35,313,1,1,1,-55020.413722034325,0.04,140469.02,-22411.576975525524
193,193,57,660,1,1,1,71160.93739660742,0.07,86435.52,105122.77454307782
194,194,38,313,1,1,1,77018.3531855649,0.32,168009.51,260508.28973960012
195,195,41,300,1,1,1,94420.47725503628,0.09,12123.9,112840.07465537229
196,196,50,322,3,1,3,-97046.9446753114,0.06,97117.62,-63785.3203421722
197,197,36,306,2,1,5,7789.398865698812,0.16,94730.34,70290.01051661721
198,198,37,306,3,1,3,-26954.691312988783,0.16,45720.41,10970.882900412818
199,199,49,338,2,1,3,-60172.45841953243,0.16,87047.13,-1524.4369149436225
200,200,45,266,1,1,1,-107629.67983594596,0.19,133606.92,-13073.72791289314
201,201,50,336,1,1,1,448467.57118270645,0.31,98259.53,558928.6854898313
202,202,35,338,1,4,1,81187.16888335101,0.04,7315.7,93077.79630715903
203,203,56,578,3,1,3,10963.066074047883,0.12,110367.45,67469.20904803189
204,204,47,315,3,1,3,-55023.80023558719,0.08,22553.47,-34369.30971095358
205,205,41,315,2,1,3,19138.351018535013,0.13,33720.31,47876.399165755814
206,206,42,328,1,1,1,58195.93590851216,0.2,86326.63,127304.36261164816
207,207,58,616,2,1,5,-66794.24432638362,0.12,48719.25,-33472.28295022361
209,209,48,660,2,1,3,29774.500860311487,0.31,3258.46,37827.85044086509
210,210,49,660,3,1,5,-39718.10504550262,0.22,34416.66,-988.9908952754176
211,211,51,331,3,1,3,85609.03374787928,0.27,74450.97,163606.66902971768
212,212,46,352,1,1,1,89115.88198097725,0.16,72442.97,140440.94304176446
213,213,47,567,2,1,3,26681.19872580972,0.06,79478.97,56626.119045364925
214,214,46,295,2,1,2,650593.3372563366,0.15,12720.97,671573.3431320245
215,215,51,587,1,1,1,114763.87312870266,0.01,46979.03,131236.16586232345
216,216,50,587,3,1,3,-91820.09719202736,0.14,15256.18,-70126.43235060015
217,217,54,551,3,1,2,-72022.03093471643,0.09,4243.51,-64459.865946734026
218,218,52,551,3,1,3,33970.87003446786,0.16,61110.34,79613.41315418626
219,219,55,294,1,1,1,17458.105848037885,0.14,57864.69,57846.29876481548
220,220,55,561,1,1,1,-108542.57872303748,0.25,175353.24,43843.87916512251
221,221,58,545,2,1,5,-368455.2304815564,0.22,147944.41,-251452.60173204914
222,222,59,561,1,1,1,-106175.68692932502,0.24,95829.59,-19097.974457427423
223,223,46,308,1,1,1,440.23728343586095,0.01,56891.27,17223.17327482306
224,224,51,538,2,1,3,-122836.98640889474,0.08,97494.22,-83393.73474090113
225,225,53,538,2,1,3,59514.00203537222,0.15,38065.19,92408.08242854822
226,226,39,586,2,1,4,-88044.8395738676,0.21,33020.69,-51313.04645534121
227,227,48,578,1,1,1,93821.44981223278,0.2,74689.1,155635.62167175277
230,230,54,625,2,1,5,-35319.092950118174,0.11,94859.55,12382.12050564983
233,233,35,582,2,1,5,103381.52365128926,0.31,32164.98,149630.45016728606
234,234,49,315,3,1,3,23423.660990911107,0.06,87559.45,54888.003740623106
236,236,42,644,3,1,5,-135678.515003635,0.31,49646.7,-72445.74507616299
237,237,43,644,2,1,3,83667.53277496307,0.13,84971.86,133286.06101028787
238,238,41,644,3,1,5,36069.326710338224,0.25,86905.22,119158.17609681824
241,241,47,660,1,1,1,-78272.44926069249,0.16,15238.44,-55631.441948718086
242,242,56,614,3,1,3,-213453.64161984625,0.05,76634.05,-186445.33121380623
243,243,59,587,1,1,1,14956.151011245996,0.01,113256.34,33505.5322227884
245,245,39,318,3,1,3,6494.397835068547,0.27,61230.98,73305.77042013415
246,246,52,313,3,1,5,-129588.2467615828,0.18,30783.84,-97222.82157061962
247,247,51,551,3,1,3,19029.55437766952,0.15,51518.36,58247.840837413525
248,248,49,244,1,1,1,155551.47494866466,0.09,58934.54,187174.21183811428
249,249,53,551,1,1,1,238117.18968173448,0.3,12128.96,264520.6049977025
250,250,47,530,2,1,3,76260.40369285627,0.34,48731.76,143185.95747535868
251,251,53,344,1,2,1,-166212.05093496584,0.1,147362.33,-105029.63983187782
252,252,40,617,2,1,5,-434750.3402374457,0.0,83830.82,-419750.3402374457
253,253,40,329,3,1,3,25779.912378864967,0.34,83473.1,129723.69244020898
254,254,45,336,1,1,1,-130434.70575222936,0.16,121122.01,-54700.52534721176
255,255,53,301,1,1,1,-166634.7944530859,0.08,38815.39,-141903.19860708268
256,256,56,316,2,1,2,38981.59201172336,0.3,91818.23,140307.32894770734
257,257,50,304,1,1,1,-103524.90130094445,0.29,102214.15,4371.553973431546
258,258,38,301,1,1,1,124756.04376335394,0.14,53199.26,163097.27441558437
259,259,47,341,1,1,1,-151945.15167919674,0.04,92675.68,-125327.56568413755
260,260,35,315,1,1,1,58147.96515061047,0.08,117185.82,102528.19394961208
261,261,39,315,3,1,3,97732.98624588546,0.0,8555.79,110566.67124588547
262,262,37,347,2,1,5,89659.52713612258,0.1,69594.96,126470.14219237858
263,263,51,288,1,1,1,621080.6180962581,0.03,30197.71,638919.748810855
264,264,57,293,3,1,2,-142543.5313575417,0.06,30084.0,-121886.6515201017
265,265,41,324,1,4,1,-100639.21801273512,0.1,43786.12,-71916.92823590312
266,266,55,281,1,1,1,66372.76945837958,0.02,39865.98,83871.51805632519
267,267,58,566,1,1,1,-56551.21720925001,0.28,12798.47,-30320.533163432403
268,268,58,551,3,1,3,-100655.153904391,0.05,30689.71,-80846.17455446301
269,269,59,566,1,1,1,-120927.18353398096,0.34,18336.02,-86389.45305457615
270,270,35,312,1,1,1,-4757.795398838157,0.34,75884.01,91099.51906070425
271,271,51,566,1,1,1,-220364.2118660948,0.34,42189.63,-160409.5477696436
272,272,57,551,1,1,1,-127322.91624256223,0.31,75200.96,-39263.66755120862
273,273,44,300,1,1,1,125012.24935493604,0.25,52244.51,180944.98702777605
274,274,35,337,1,1,1,4125.320732225942,0.35,10346.26,30473.901570001944
275,275,59,551,3,1,3,81749.39001199297,0.31,63156.53,158107.23214263777
276,276,55,588,2,1,3,-51691.74076581283,0.08,35857.98,-27701.61161307042
278,278,36,298,1,1,1,-39275.235548915065,0.31,26826.4,1787.1528713089374
279,279,54,625,3,1,4,-167077.00076790125,0.32,59341.81,-92565.50167537005
280,280,56,385,2,4,3,-25182.237777407743,0.23,21436.99,5269.6578018994605
281,281,43,327,1,1,1,490431.8440233152,0.09,107067.02,535630.55097848
283,283,36,303,1,1,1,212507.27896132952,0.23,22669.1,243847.28593417752
284,284,53,310,2,1,3,4365.179627311174,0.27,43176.58,55899.592000408775
285,285,56,585,1,1,1,-76687.50259198,0.13,115776.71,-14518.718666007186
286,286,54,545,2,1,5,10668.670791465876,0.07,59791.72,38785.51045816028
287,287,48,301,1,1,1,-42776.0983490568,0.01,56674.98,-25999.940747844004
288,288,42,286,1,1,1,-59335.26128276462,0.03,49813.22,-39651.91797974702
289,289,48,301,1,1,1,-43565.3252496238,0.28,19242.92,-11679.622924350195
290,290,56,535,2,1,3,235591.96762023872,0.1,79088.86,275377.9101755347
291,291,56,535,3,1,3,48907.18992828699,0.08,152621.63,102171.70357914141
292,292,51,526,1,1,1,6622.026348388753,0.35,46060.52,72144.77898074075
293,293,47,294,3,1,5,59834.15437568378,0.15,82777.01,113746.83211738778
294,294,53,526,1,1,1,13193.098606041342,0.33,27203.52,56326.948522098945
295,295,42,588,2,1,5,109451.81442640508,0.07,6121.54,119977.0404471059
296,296,42,588,2,1,3,126344.67999872568,0.07,45251.94,151271.8478672345
297,297,38,301,1,1,1,-246397.6881926916,0.33,37709.43,-192398.63792125322
298,298,50,526,3,1,4,68296.9086503052,0.31,94159.15,174774.42112376916
299,299,46,300,1,1,1,138401.45916765791,0.03,36210.35,156805.8867507859
300,300,54,566,1,1,1,70926.68818521428,0.13,101969.84,127470.39200894548
301,301,48,248,1,1,1,62828.05990010226,0.07,11307.45,80308.63762372627
302,302,36,586,3,1,3,-260095.45141134868,0.02,26995.62,-243403.40050414228
303,303,41,586,2,1,3,123507.94850517112,0.25,35925.99,166655.38685433113
304,304,53,375,1,4,1,11884.943377088151,0.27,18441.8,42489.707026784155
306,306,43,327,1,1,1,63981.73380278045,0.17,57630.81,109685.64973136765
307,307,56,592,1,1,1,-21356.73371809906,0.22,75750.57,45870.702717475346
308,308,42,327,2,1,3,89442.35528100336,0.23,218464.46,261912.69154135216
309,309,38,685,2,1,3,15213.944014885476,0.05,35075.72,35710.197096581476
310,310,36,615,1,1,1,88925.18560864846,0.18,48466.67,131265.64515301006
311,311,51,625,3,1,3,84091.39549693743,0.19,61246.11,135560.25940483983
312,312,39,303,3,1,3,10696.80670904247,0.18,69055.24,64651.45318147767
313,313,53,300,1,4,1,13275.576647414808,0.04,4047.9,19854.86102879081
314,314,50,298,3,1,3,66153.37942340296,0.08,18930.41,85899.51489490375
315,315,54,310,2,1,3,-176500.6932463185,0.13,68962.83,-133404.4308184641
316,316,51,591,1,1,1,-247708.5997172265,0.0,13491.09,-232708.5997172265
317,317,44,566,2,1,5,596927.8623823457,0.0,30332.45,611927.8623823457
318,318,43,566,3,1,5,147872.22374847528,0.11,100832.98,197632.6754094961
319,319,46,529,2,1,5,-120185.0424129198,0.26,73831.05,-45025.778179591805
320,320,57,585,1,1,1,-261769.52816732225,0.02,34854.8,-244584.87391746626
321,321,45,301,1,1,1,-120704.82930860708,0.21,72216.0,-58177.561651647076
322,322,60,600,2,1,3,63963.6603607208,0.1,3190.42,69749.14757003282
323,323,45,657,2,1,5,138902.43088460105,0.2,58804.72,190760.47668018503
324,324,42,258,2,1,3,-268075.8639739269,0.11,163576.78,-196685.55641725814
325,325,44,258,3,3,5,-30174.03849919555,0.1,81455.87,10353.709841236448
326,326,35,318,1,1,1,32804.57854218769,0.2,70401.35,91931.2435849077
328,328,50,617,1,1,1,168583.90880287287,0.26,58729.14,231437.78398758327
329,329,43,294,1,1,1,86768.66478210689,0.03,65279.5,107906.11803546689
330,330,37,559,2,1,3,-189309.8152924628,0.03,31219.27,-171374.63946806118
331,331,52,526,1,1,1,42071.26082248847,0.24,31220.44,80553.54742693008
332,332,49,301,1,1,1,77075.4919742791,0.32,201701.18,294353.4405325127
334,334,36,312,1,1,1,-33853.49444124648,0.07,89207.82,716.5174593199235
336,336,46,280,3,2,3,-103029.33382579136,0.06,42294.29,-80076.47794426496
337,337,50,273,2,1,4,-286255.75188316224,0.26,20752.6,-254346.0486224263
338,338,60,545,2,1,3,-273572.0997763754,0.02,144177.52,-249535.23737000098
339,339,49,349,1,1,1,55353.95342329539,0.14,73448.51,102579.5635722458
340,340,45,344,3,1,3,-125938.43660360535,0.05,84095.44,-97760.95026101336
341,341,41,344,2,1,3,199616.4719855535,0.12,20634.05,222376.36704004952
342,342,37,351,1,1,1,-156134.99332601434,0.23,47634.8,-106799.57797427036
343,343,43,336,3,1,3,-65252.16664561165,0.02,108656.33,-43441.726961314045
344,344,44,494,2,4,5,186719.76393955515,0.23,79189.41,258799.90878763996
345,345,50,363,1,1,1,138744.85456173166,0.3,55469.3,205896.02541117166
346,346,57,399,2,4,3,-6707.456422971889,0.3,45823.68,51375.08769837211
347,347,54,395,3,4,3,21381.13863826985,0.25,63908.55,86452.46502646986
348,348,42,326,3,1,1,74495.63397385494,0.2,220440.35,227664.82371737497
349,349,35,310,3,1,3,-113470.98834138368,0.19,43241.23,-72723.09133894047
350,350,43,211,1,3,1,637190.4236497876,0.16,126434.27,715588.3293116627
351,351,42,303,2,1,5,237970.03012066003,0.26,103773.83,337527.3709613288
352,352,45,303,3,1,5,74749.1906880331,0.16,29443.75,104513.1631840331
353,353,40,324,2,1,3,278641.0802718428,0.01,42989.44,294988.34180820116
354,354,52,566,1,1,1,-227549.91950713508,0.03,188802.02,-194799.11608661347
355,355,52,566,1,1,1,631315.0886613143,0.04,68785.63,654937.8791469017
356,356,35,312,1,1,1,-83752.85956350208,0.1,24458.93,-61087.58743865408
357,357,46,607,2,1,3,-65961.5125990294,0.34,143516.57,101960.88080960742
358,358,50,566,3,1,3,-42262.54237380959,0.23,58572.65,14956.933009782411
359,359,52,300,1,4,1,1985.1268647017653,0.03,138062.76,29965.522479402563
361,361,49,563,3,1,3,64489.16411341445,0.09,62083.49,97000.07570191205
362,362,56,598,1,1,1,-16634.668089123497,0.2,54779.62,32700.496547740506
363,363,60,625,2,1,2,22477.887654108235,0.29,37161.61,71251.89879922663
364,364,60,595,1,1,1,-67663.00942828038,0.19,5132.52,-56908.08148052358
365,365,52,592,1,1,1,263297.3903277824,0.14,16552.16,285559.66774202883
366,366,50,572,2,1,5,182578.8276662721,0.33,65017.72,264820.0808704257
367,367,48,571,2,1,5,100664.6340075637,0.13,130196.45,168708.1884320997
368,368,48,345,2,1,3,51663.19223522304,0.29,90690.98,149086.91309343424
369,369,40,345,3,1,5,-127018.40898068246,0.13,165333.58,-44659.57739246807
370,370,41,329,1,1,1,-179527.40940697037,0.13,116615.28,-117016.98226849997
371,371,46,582,1,1,1,82270.07747763641,0.02,82921.53,102467.49283847802
372,372,49,505,2,1,3,363185.6261472594,0.07,34624.72,385781.44210211374
373,373,45,264,1,1,1,506849.723889321,0.01,42335.61,523176.4948119305
374,374,59,535,1,1,1,-76846.68053702933,0.05,63314.12,-51925.56053821332
375,375,59,595,1,1,1,-106968.795853667,0.14,52272.33,-69034.25670294379
377,377,45,594,1,1,1,116871.31242782422,0.14,108698.48,179562.8835742434
378,378,54,598,1,1,1,20583.09928389935,0.13,13136.63,40935.11578173775
379,379,37,330,1,1,1,173471.62914230872,0.22,163937.79,301501.1483474255
380,380,53,566,1,1,1,-129924.5541115557,0.34,8340.45,-108526.81069774769
381,381,47,588,1,1,1,86433.30992085015,0.34,79733.98,186392.91463824536
383,383,57,620,2,1,5,16039.931860624998,0.24,257033.73,224366.4741793322
384,384,55,448,2,1,2,-118811.7923393027,0.24,76447.56,-46312.1698442243
385,385,36,298,3,1,3,129922.56630886934,0.35,113320.47,269221.25147334137
386,386,38,327,1,1,1,-4520.278360270936,0.11,21089.22,17749.870874420267
388,388,44,614,3,1,5,-224220.71881479028,0.09,25790.91,-201946.28329583188
389,389,54,584,1,1,1,218982.16824798257,0.24,16103.67,246094.4573228114
390,390,44,345,3,1,3,-107526.58893850211,0.29,88765.53,-11852.796830938918
391,391,38,621,2,1,3,148160.34849370032,0.2,33249.79,184000.89126838834
392,392,49,558,2,1,5,45658.770408501085,0.04,43859.83,66156.9264161363
393,393,56,618,1,1,1,-92343.93778493744,0.09,48946.61,-63538.33890081104
